update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1761.1430237395277,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9218172430992126,-0.12488844059407711,-0.01835649460554123,0.0010745206091087312,0.04120159007121346,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2494.5222001098296,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9324543625116348,-0.08535167016088963,-0.01560420950409025,0.00012638419048016658,0.007554038192149549,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2337.8144757268237,2,0.0,0.0,0.0,0.0,288.0,0.0,288.0,288.0,1.936072662472725,-0.062022349797189236,-0.02065435773693025,0.0003407441981835291,0.00999277489864829,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2473.3314652196273,3,0.0,0.0,0.0,0.0,288.0,0.0,288.0,288.0,1.9397181123495102,-0.05226410645991564,-0.009060397744178772,4.82913001178531e-05,0.004455329567951572,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2470.457700207819,4,0.0,0.0,0.0,0.0,288.0,0.0,288.0,288.0,1.941015049815178,-0.03818172961473465,-0.013050441164523363,0.00015754657943034545,0.006622306085349098,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
